

--- File: data\Student_performance_dataset.csv ---
StudentID,Age,Gender,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1001,17,1,2,19.83372281,7,1,2,0,0,1,0,8.74
1002,18,0,1,15.40875606,0,0,1,0,0,0,0,8.89
1003,15,0,3,4.210569769,26,0,2,0,0,0,0,2.14
1004,17,1,3,10.02882947,14,0,3,1,0,0,0,7.5
1005,17,1,2,4.672495273,17,1,3,0,0,0,0,6.13
1006,18,0,1,8.191218545,0,0,1,1,0,0,0,8.94
1007,15,0,1,15.60168047,10,0,3,0,1,0,0,8.51
1008,15,1,4,15.42449631,22,1,1,1,0,0,0,6.28
1009,17,0,0,4.562007558,1,0,2,0,1,0,1,8.7
1010,16,1,1,18.44446636,0,0,3,1,0,0,0,9.53
1011,17,0,1,11.85136366,11,0,1,0,0,0,0,7.65
1012,17,0,1,7.598485819,15,0,2,0,0,0,1,6.66
1013,17,0,1,10.03871162,21,0,3,1,0,0,0,6.59
1014,17,0,2,12.10142507,21,0,4,0,1,0,0,7
1015,18,1,1,11.19781064,9,1,2,0,0,0,0,8.02
1016,15,0,2,9.728100711,17,1,0,0,1,0,0,6.24
1017,18,0,1,10.09865608,14,0,2,1,1,0,0,7.78
1018,18,1,0,3.528238209,16,1,2,0,0,0,0,6.33
1019,18,0,3,16.25465809,29,0,2,1,0,0,1,3.97
1020,17,0,1,10.8352064,9,0,2,0,0,1,0,8.02
1021,16,1,3,2.621597234,2,0,3,0,0,0,1,8.55
1022,15,0,2,15.32314203,25,0,1,1,0,0,0,3.48
1023,16,1,0,18.64887957,29,1,1,0,0,0,0,3.33
1024,18,1,4,18.94613798,20,0,2,1,0,0,0,7.04
1025,18,1,1,7.380354648,15,0,2,0,0,0,0,6.56
1026,16,1,3,2.710337471,5,0,4,0,0,1,0,8.81
1027,16,0,1,10.36799253,2,0,2,0,1,0,0,8.77
1028,16,1,3,2.252184587,8,0,3,0,0,1,0,7.64
1029,18,0,0,18.67974837,10,0,3,1,0,0,0,8.65
1030,18,0,2,3.671592547,20,0,3,1,0,0,0,6.59
1031,15,0,2,5.055317199,12,1,0,0,1,0,0,6.96
